City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,75.09,71,28,7.96,scattered clouds
1,Albany,US,42.6001,-73.9662,90.03,50,91,1.01,overcast clouds
2,Avarua,CK,-21.2078,-159.775,71.65,88,100,11.5,light rain
3,New Norfolk,AU,-42.7826,147.0587,41.72,85,53,3.04,light rain
4,Hermanus,ZA,-34.4187,19.2345,56.7,73,5,9.6,clear sky
5,Nukus,UZ,42.4531,59.6103,93.18,26,0,4.61,clear sky
6,Jamestown,US,42.097,-79.2353,83.79,64,100,12.66,overcast clouds
7,Mataura,NZ,-46.1927,168.8643,48.47,85,90,3.04,overcast clouds
8,Persianovskiy,RU,47.5137,40.1075,84.72,34,20,15.66,few clouds
9,Laguna,US,38.421,-121.4238,86.94,50,0,5.75,clear sky
10,Port Alfred,ZA,-33.5906,26.891,56.17,88,8,1.01,clear sky
11,Lufilufi,WS,-13.8745,-171.5986,74.98,80,82,20.69,moderate rain
12,Rostovka,RU,55.3842,71.8891,49.33,88,32,9.46,scattered clouds
13,East London,ZA,-33.0153,27.9116,52.74,82,0,5.75,clear sky
14,Ushuaia,AR,-54.8,-68.3,47.86,76,40,13.8,scattered clouds
15,Severo-Kurilsk,RU,50.6789,156.125,45.84,98,100,12.71,light rain
16,Kamina,CD,-8.7386,24.9906,67.39,38,16,5.14,few clouds
17,Tahta,EG,26.7693,31.5021,94.3,14,0,15.35,clear sky
18,Severnoye,RU,56.3491,78.3619,58.23,96,12,7.74,few clouds
19,Yerbogachen,RU,61.2767,108.0108,58.17,97,94,7.0,overcast clouds
20,Kaitangata,NZ,-46.2817,169.8464,43.02,83,100,5.08,light rain
21,Sao Filipe,CV,14.8961,-24.4956,76.3,75,41,13.18,scattered clouds
22,Voh,NC,-20.9667,164.7,68.23,87,61,5.01,broken clouds
23,Hilo,US,19.7297,-155.09,78.28,93,100,1.01,overcast clouds
24,Cape Town,ZA,-33.9258,18.4232,63.37,68,0,5.75,clear sky
25,Henties Bay,NA,-22.116,14.2845,65.19,60,0,8.43,clear sky
26,Bluff,NZ,-46.6,168.3333,48.79,87,100,27.65,light rain
27,Ribeira Grande,PT,38.5167,-28.7,68.4,88,75,8.05,broken clouds
28,Gravina In Puglia,IT,40.8197,16.4228,89.15,35,18,11.52,few clouds
29,Klyuchi,RU,52.2667,79.1667,72.14,61,24,4.94,light rain
30,Nome,US,64.5011,-165.4064,52.16,100,100,12.66,light rain
31,Kodiak,US,57.79,-152.4072,54.91,67,0,11.5,clear sky
32,Thompson,CA,55.7435,-97.8558,64.56,39,20,0.0,few clouds
33,Cherskiy,RU,68.75,161.3,42.71,57,88,5.1,overcast clouds
34,Leshukonskoye,RU,64.8989,45.7622,53.22,80,100,5.44,overcast clouds
35,Ilulissat,GL,69.2167,-51.1,46.42,66,75,14.97,broken clouds
36,Victoria,HK,22.2855,114.1577,86.32,81,35,5.01,scattered clouds
37,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,17.27,scattered clouds
38,Dikson,RU,73.5069,80.5464,33.31,89,68,17.22,broken clouds
39,Fortuna,US,40.5982,-124.1573,59.92,100,20,0.0,few clouds
40,Qaanaaq,GL,77.484,-69.3632,44.55,59,100,2.66,overcast clouds
41,Saint-Pierre,RE,-21.3393,55.4781,66.9,55,0,8.05,clear sky
42,Punta Arenas,CL,-53.15,-70.9167,48.31,71,0,34.52,clear sky
43,Iqaluit,CA,63.7506,-68.5145,49.73,57,75,29.93,broken clouds
44,Atuona,PF,-9.8,-139.0333,77.74,68,29,20.31,scattered clouds
45,Saldanha,ZA,-33.0117,17.9442,60.85,70,0,9.82,clear sky
46,Olafsvik,IS,64.8945,-23.7142,44.26,77,91,16.98,overcast clouds
47,Zhangye,CN,38.9342,100.4517,72.79,41,99,9.31,overcast clouds
48,Boguchany,RU,58.3814,97.4531,62.53,96,72,4.23,broken clouds
49,Mitsamiouli,KM,-11.3847,43.2844,80.89,44,20,6.91,few clouds
50,Srednekolymsk,RU,67.45,153.6833,42.71,73,99,8.08,overcast clouds
51,Pieszyce,PL,50.7129,16.5823,83.91,60,52,3.09,broken clouds
52,Yulara,AU,-25.2406,130.9889,50.9,55,0,15.03,clear sky
53,Atasu,KZ,48.6814,71.6433,77.27,49,2,12.59,clear sky
54,Svetlaya,RU,46.5389,138.3297,51.15,98,100,3.02,overcast clouds
55,Old Town,CZ,50.087,14.4202,85.15,48,0,5.01,clear sky
56,Narsaq,GL,60.9167,-46.05,53.82,87,100,8.57,light rain
57,Upernavik,GL,72.7868,-56.1549,39.09,87,99,1.79,overcast clouds
58,Mitu,CO,1.1983,-70.1733,69.98,99,100,3.29,overcast clouds
59,Bungu,TZ,-7.6337,39.0582,68.58,84,75,4.47,broken clouds
60,Souillac,MU,-20.5167,57.5167,70.18,60,20,9.22,few clouds
61,Klaksvik,FO,62.2266,-6.589,56.32,97,43,16.26,scattered clouds
62,Coxim,BR,-18.5067,-54.76,86.31,27,3,4.25,clear sky
63,High Level,CA,58.5169,-117.136,57.31,88,75,9.22,broken clouds
64,Khatanga,RU,71.9667,102.5,46.53,52,8,14.45,clear sky
65,Barrow,US,71.2906,-156.7887,55.42,76,100,13.8,overcast clouds
66,Busselton,AU,-33.65,115.3333,62.24,87,1,10.16,clear sky
67,Broome,US,42.2506,-75.833,87.53,59,20,11.5,few clouds
68,Berezovyy,RU,51.6667,135.7,51.06,97,100,2.82,overcast clouds
69,Basco,PH,20.4487,121.9702,85.53,75,83,18.92,broken clouds
70,Karratha,AU,-20.7377,116.8463,69.19,30,0,17.25,clear sky
71,Vaini,TO,-21.2,-175.2,69.96,94,20,3.44,few clouds
72,Kharan,PK,28.5833,65.4167,97.36,23,55,8.68,broken clouds
73,Upata,VE,8.0086,-62.3989,85.19,80,92,3.11,overcast clouds
74,Bratsk,RU,56.1325,101.6142,68.49,94,72,3.58,broken clouds
75,El Vigia,VE,8.6219,-71.6506,79.99,75,99,0.65,overcast clouds
76,Bhadrachalam,IN,17.6667,80.8833,80.17,81,100,2.24,overcast clouds
77,Pisco,PE,-13.7,-76.2167,64.45,77,40,9.22,scattered clouds
78,Nisia Floresta,BR,-6.0911,-35.2086,88.18,69,53,9.75,light rain
79,Sarankhola,BD,22.3082,89.7897,81.3,87,100,5.21,overcast clouds
80,Bara,NG,10.3744,10.7288,86.97,53,62,6.89,broken clouds
81,Akot,IN,21.0964,77.0586,81.36,76,94,4.47,overcast clouds
82,Puerto Ayora,EC,-0.7393,-90.3518,75.16,96,91,1.01,overcast clouds
83,Mahebourg,MU,-20.4081,57.7,70.09,60,20,9.22,few clouds
84,Nanortalik,GL,60.1432,-45.2371,39.36,97,100,11.61,moderate rain
85,Atar,MR,20.5169,-13.0499,101.84,12,9,11.07,clear sky
86,Chauk,MM,20.8833,94.8167,87.57,58,82,15.57,broken clouds
87,Ucluelet,CA,48.9329,-125.5528,71.91,60,18,3.29,few clouds
88,Dongsheng,CN,39.8161,109.9776,63.01,73,84,4.32,broken clouds
89,Kapaa,US,22.0752,-159.319,71.58,93,40,10.36,light rain
90,Hithadhoo,MV,-0.6,73.0833,83.91,70,100,8.88,overcast clouds
91,Laurinburg,US,34.7741,-79.4628,90.88,42,0,5.75,clear sky
92,Guerrero Negro,MX,27.9769,-114.0611,82.89,45,0,0.67,clear sky
93,Abha,SA,18.2164,42.5053,80.85,13,20,11.5,few clouds
94,Poum,NC,-20.2333,164.0167,74.61,74,53,16.24,broken clouds
95,Kulhudhuffushi,MV,6.6221,73.07,82.71,78,92,14.63,overcast clouds
96,La Ronge,CA,55.1001,-105.2842,68.25,45,75,3.44,broken clouds
97,Shimoda,JP,34.6667,138.95,76.1,89,52,16.42,broken clouds
98,Matagami,CA,49.7502,-77.6328,69.91,73,100,17.27,overcast clouds
99,Roald,NO,62.5833,6.1333,79.72,77,0,12.66,clear sky
100,Bengkulu,ID,-3.8004,102.2655,75.87,86,23,4.27,few clouds
101,Bilma,NE,18.6853,12.9164,104.7,9,24,7.43,few clouds
102,Port Blair,IN,11.6667,92.75,81.0,81,95,12.44,light rain
103,Chiang Khong,TH,20.2613,100.4046,73.27,98,71,0.76,broken clouds
104,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,63,63,1.63,broken clouds
105,Pevek,RU,69.7008,170.3133,31.35,91,100,6.26,light snow
106,Alyangula,AU,-13.8483,136.4192,76.37,76,90,16.6,overcast clouds
107,Sao Felix Do Xingu,BR,-6.6447,-51.995,87.35,45,93,2.62,overcast clouds
108,Oyama,JP,36.3,139.8,83.59,62,42,3.38,scattered clouds
109,Port Lincoln,AU,-34.7333,135.8667,52.5,67,14,2.64,few clouds
110,Roma,US,43.2128,-75.4557,88.83,49,0,10.36,clear sky
111,Kushima,JP,31.4583,131.2333,77.63,95,59,2.3,broken clouds
112,Asuncion,PY,-25.3007,-57.6359,63.9,88,100,4.61,overcast clouds
113,Asau,RO,46.4333,26.4,74.32,87,79,3.87,broken clouds
114,Tasiilaq,GL,65.6145,-37.6368,41.16,72,38,1.12,scattered clouds
115,Kutum,SD,14.2,24.6667,88.63,23,80,11.16,broken clouds
116,Rafaela,AR,-31.2503,-61.4867,54.0,49,100,4.0,overcast clouds
117,Suhbaatar,MN,50.2314,106.2078,65.08,52,35,0.72,scattered clouds
118,Grand Gaube,MU,-20.0064,57.6608,70.2,65,26,3.0,scattered clouds
119,Jumla,NP,29.2747,82.1838,63.81,96,97,2.1,overcast clouds
120,Chuy,UY,-33.6971,-53.4616,51.89,58,100,4.99,overcast clouds
121,Coari,BR,-4.085,-63.1414,90.7,46,36,2.01,scattered clouds
122,Mitzic,GA,0.7821,11.549,73.0,89,61,1.88,light rain
123,Hasaki,JP,35.7333,140.8333,77.4,84,0,7.87,clear sky
124,Qingdao,CN,36.0986,120.3719,73.0,100,40,11.18,light intensity shower rain
125,Omboue,GA,-1.5746,9.2618,72.95,84,76,8.21,broken clouds
126,Gamba,GA,-2.65,10.0,72.45,84,7,7.23,clear sky
127,Kathor,IN,21.3,72.9333,84.0,78,100,7.81,overcast clouds
128,Christchurch,NZ,-43.5333,172.6333,41.92,91,100,4.61,fog
129,Gat,IL,31.61,34.7642,81.79,40,0,6.2,clear sky
130,Yellowknife,CA,62.456,-114.3525,54.12,71,75,15.01,broken clouds
131,Najran,SA,17.4924,44.1277,97.45,11,80,6.64,broken clouds
132,Ternate,ID,0.8,127.4,79.5,80,83,2.89,broken clouds
133,Awbari,LY,26.5921,12.7805,103.35,8,1,10.74,clear sky
134,Mana,GF,5.6592,-53.7767,83.93,67,79,7.9,broken clouds
135,Almeria,ES,37.1667,-2.3333,85.44,20,0,6.13,clear sky
136,Geraldton,AU,-28.7667,114.6,52.21,87,0,11.5,clear sky
137,Kupang,ID,-10.1667,123.5833,76.98,80,99,12.95,overcast clouds
138,Chuguyevka,RU,44.1653,133.8633,60.78,99,80,1.79,broken clouds
139,Chicama,PE,-7.8447,-79.1469,61.34,61,61,8.1,broken clouds
140,Lebu,CL,-37.6167,-73.65,54.39,79,38,10.85,scattered clouds
141,Lyman,UA,48.9884,37.8023,72.37,64,100,7.7,overcast clouds
142,Hobart,AU,-42.8794,147.3294,42.06,85,75,5.75,broken clouds
143,Duvan,RU,55.695,57.9024,47.59,74,100,10.63,overcast clouds
144,At-Bashi,KG,41.1702,75.8106,63.32,49,11,2.51,few clouds
145,Mar Del Plata,AR,-38.0023,-57.5575,49.95,56,44,1.99,scattered clouds
146,Kieta,PG,-6.2167,155.6333,77.77,87,100,6.98,light rain
147,Talnakh,RU,69.4865,88.3972,54.21,47,100,7.34,overcast clouds
148,Plettenberg Bay,ZA,-34.0527,23.3716,54.91,65,30,2.46,scattered clouds
149,Husavik,IS,66.0449,-17.3389,38.93,98,100,5.32,overcast clouds
150,Uige,AO,-7.6087,15.0613,87.82,27,20,6.91,few clouds
151,Georgetown,MY,5.4112,100.3354,82.33,91,40,5.99,moderate rain
152,Soyo,AO,-6.1349,12.3689,72.23,85,92,10.67,overcast clouds
153,Nantucket,US,41.2835,-70.0995,82.15,88,0,6.91,clear sky
154,Hanzhong,CN,33.0728,107.0303,68.22,93,92,1.52,overcast clouds
155,Yumbel,CL,-37.0833,-72.5667,48.43,62,87,3.58,overcast clouds
156,Shieli,KZ,44.1667,66.75,89.76,18,0,9.66,clear sky
157,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,67,40,14.97,scattered clouds
158,Teya,RU,60.3778,92.6267,60.04,98,100,4.0,light rain
159,Bambous Virieux,MU,-20.3428,57.7575,70.05,60,20,9.22,few clouds
160,Winnemucca,US,40.973,-117.7357,75.25,19,0,13.8,clear sky
161,Chokurdakh,RU,70.6333,147.9167,34.45,62,2,17.2,clear sky
162,El Alto,PE,-4.2714,-81.2147,71.26,65,9,14.41,clear sky
163,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,60,40,14.97,scattered clouds
164,Bayonet Point,US,28.3267,-82.6834,92.17,65,86,1.99,overcast clouds
165,Storforshei,NO,66.4043,14.5233,80.38,41,20,10.36,few clouds
166,Vardo,NO,70.3705,31.1107,46.63,87,35,8.34,scattered clouds
167,Paamiut,GL,61.994,-49.6678,38.43,96,100,23.53,light rain
168,Hovd,MN,48.0056,91.6419,73.76,36,30,3.91,scattered clouds
169,Terrace Bay,CA,48.7834,-87.1,46.53,86,87,10.33,overcast clouds
170,Oktyabrskiy,RU,54.4815,53.471,55.04,78,23,6.26,few clouds
171,Kavieng,PG,-2.5744,150.7967,82.0,78,100,18.79,light rain
172,Rumuruti,KE,0.267,36.5389,59.67,84,91,10.33,overcast clouds
173,Naze,JP,28.3667,129.4833,77.92,91,88,7.87,overcast clouds
174,Tura,IN,25.5198,90.2201,74.8,95,97,5.41,overcast clouds
175,Paranga,RU,56.7039,49.4047,57.33,76,2,4.65,clear sky
176,Sibolga,ID,1.7427,98.7792,76.73,90,78,3.2,broken clouds
177,Pochutla,MX,15.7432,-96.4661,86.83,54,100,6.67,overcast clouds
178,Cochrane,CA,51.1834,-114.4687,68.65,39,0,4.61,clear sky
179,Umm Lajj,SA,25.0213,37.2685,86.04,55,0,9.13,clear sky
180,Ust-Karsk,RU,52.7011,118.8077,57.63,98,100,2.3,overcast clouds
181,Taraza,CO,7.5836,-75.4007,84.85,65,98,4.16,overcast clouds
182,Banda Aceh,ID,5.5577,95.3222,80.94,72,100,11.3,overcast clouds
183,Goderich,CA,43.7501,-81.7165,72.91,85,94,10.47,overcast clouds
184,Dzerzhinskoye,RU,56.8344,95.2283,65.68,94,22,7.09,few clouds
185,Castro,BR,-24.7911,-50.0119,56.16,83,100,6.58,overcast clouds
186,Port Moresby,PG,-9.4431,147.1797,74.62,100,20,3.44,few clouds
187,Ahtopol,BG,42.1,27.95,72.16,70,54,3.53,broken clouds
188,Clyde River,CA,70.4692,-68.5914,34.03,93,100,12.66,light snow
189,Luganville,VU,-15.5333,167.1667,78.73,78,22,14.81,few clouds
190,Batagay-Alyta,RU,67.8006,130.4114,35.71,83,100,5.17,overcast clouds
191,Bouna,CI,9.2667,-3.0,87.1,51,92,5.12,overcast clouds
192,Codrington,AU,-38.2667,141.9667,46.08,74,24,7.38,few clouds
193,Broken Hill,AU,-31.95,141.4333,47.05,88,8,14.58,clear sky
194,Te Anau,NZ,-45.4167,167.7167,46.42,90,97,7.0,light rain
195,Padang,ID,-0.9492,100.3543,77.14,83,74,4.34,broken clouds
196,Touros,BR,-5.1989,-35.4608,82.96,66,28,13.87,scattered clouds
197,Bathsheba,BB,13.2167,-59.5167,86.61,74,40,24.16,scattered clouds
198,Huangmei,CN,30.1924,116.025,80.46,82,95,2.35,overcast clouds
199,Faanui,PF,-16.4833,-151.75,80.35,67,47,18.07,scattered clouds
200,Sitka,US,57.0531,-135.33,55.29,88,100,3.44,mist
201,Hofn,IS,64.2539,-15.2082,50.02,66,100,9.22,overcast clouds
202,Constitucion,CL,-35.3333,-72.4167,57.51,70,69,6.6,broken clouds
203,Tsurib,RU,42.2368,46.8307,60.13,95,79,1.07,light rain
204,Kudahuvadhoo,MV,2.6708,72.8944,83.08,76,100,11.39,overcast clouds
205,Bredasdorp,ZA,-34.5322,20.0403,51.51,87,7,5.12,clear sky
206,Nara,JP,34.6851,135.8049,78.91,69,29,1.07,scattered clouds
207,Sarangani,PH,5.4033,125.4636,80.71,77,97,1.81,overcast clouds
208,Katherine,AU,-14.4667,132.2667,75.52,33,100,9.22,overcast clouds
209,Seshcha,RU,53.7361,33.3387,72.66,76,74,3.83,broken clouds
210,Martinopolis,BR,-22.1458,-51.1708,74.52,50,56,11.99,broken clouds
211,Gazalkent,UZ,41.5581,69.7708,82.04,24,0,6.46,clear sky
212,Vestmanna,FO,62.1564,-7.1664,54.52,82,75,16.11,broken clouds
213,Saint George,US,37.1041,-113.5841,92.79,21,0,4.61,clear sky
214,Lander,US,42.833,-108.7307,67.1,49,0,0.0,clear sky
215,Korla,CN,41.7597,86.1469,84.07,29,82,6.64,broken clouds
216,Adre,TD,13.4667,22.2,86.07,37,86,16.75,overcast clouds
217,Pimentel,PE,-6.8367,-79.9342,68.29,68,75,3.44,broken clouds
218,Marzuq,YE,14.4,46.4667,85.96,40,99,7.14,overcast clouds
219,Akureyri,IS,65.6835,-18.0878,42.73,81,75,11.5,broken clouds
220,Rocha,UY,-34.4833,-54.3333,50.99,57,93,5.97,overcast clouds
221,Abu Samrah,SY,35.3029,37.1841,77.4,33,0,17.25,clear sky
222,Santa Rosa,PH,14.3122,121.1114,79.11,87,96,5.35,overcast clouds
223,Forest Hills,US,42.9595,-85.4898,79.43,62,75,14.97,broken clouds
224,Norman Wells,CA,65.282,-126.8329,59.04,58,75,9.22,broken clouds
225,Victor Harbor,AU,-35.5667,138.6167,48.0,88,28,2.95,scattered clouds
226,Cidreira,BR,-30.1811,-50.2056,57.92,61,99,5.68,overcast clouds
227,Isangel,VU,-19.55,169.2667,74.66,85,57,12.08,broken clouds
228,Dumas,US,35.8656,-101.9732,67.6,72,100,16.11,overcast clouds
229,Airai,TL,-8.9266,125.4092,58.06,97,99,3.62,overcast clouds
230,Nea Apollonia,GR,40.6333,23.45,85.8,61,53,4.54,broken clouds
231,Kjopsvik,NO,68.097,16.3742,76.87,51,51,3.22,broken clouds
232,Pasni,PK,25.2631,63.471,83.14,87,41,8.14,scattered clouds
233,Nikolskoye,RU,59.7035,30.7861,82.29,51,2,4.5,clear sky
234,Arman,RU,59.7,150.1667,45.86,97,23,3.67,few clouds
235,Paragominas,BR,-2.9667,-47.4833,88.79,44,42,5.48,scattered clouds
236,Chachapoyas,PE,-6.2317,-77.869,62.82,54,74,7.07,broken clouds
237,Arcachon,FR,44.5875,-1.0519,66.52,68,100,3.44,overcast clouds
238,Cabo San Lucas,MX,22.8909,-109.9124,78.62,91,100,16.11,overcast clouds
